Address,Transactions,Year,Month,List Price,Sold Price,Sold/List Ratio,Property Type,SqFt,Beds,Baths
"361 Killarney Glen Court Southwest, Calgary ",1,2024,September,"$399,900","$399,900",100%,Not Applicable,990,3,1
"#1009 1110 11 Street Southwest, Calgary ",1,2024,August,"$299,000","$292,000",98%,High Rise Apartment,523,1,1
"#306 1441 23 Avenue Southwest, Calgary ",1,2024,September,"$389,900","$385,000",99%,High Rise Apartment,"1,109",2,2
"155 Cranfield Circle Southeast, Calgary ",1,2024,September,"$699,500","$690,000",99%,House,"2,332",3,2
"1985 Cottonwood Crescent Southeast, Calgary ",1,2024,December,"$615,000","$590,000",96%,House,"1,082",5,2
"2103 New Brighton Park Southeast, Calgary ",1,2024,December,"$579,900","$571,000",98%,House,"1,384",3,3
"28 Bermondsey Rise Northwest, Calgary ",1,2024,December,"$549,900","$565,000",103%,House,"1,427",4,3
"254 Coventry Court Northeast, Calgary ",1,2024,December,"$614,900","$608,500",99%,House,"1,769",4,3
"235 Avonburn Road Southeast, Calgary ",1,2024,September,"$575,000","$573,500",100%,Half Duplex,"1,293",3,2
"#213 1920 14 Avenue Northeast, Calgary ",1,2024,November,"$240,000","$230,000",96%,High Rise Apartment,805,2,2
"#334 1920 14 Avenue Northeast, Calgary ",1,2024,December,"$249,800","$230,000",92%,High Rise Apartment,810,2,2
"#23 366 94 Avenue Southeast, Calgary ",1,2024,December,"$164,900","$164,900",100%,High Rise Apartment,534,1,1
"9407 Albany Place Southeast, Calgary ",1,2024,September,"$750,000","$725,000",97%,House,"1,088",4,3
"153 Carrington Close Northwest, Calgary ",1,2024,August,"$949,900","$910,000",96%,House,"2,648",4,3
"9835 5 Street Southeast, Calgary ",1,2024,November,"$629,900","$605,000",96%,House,"1,066",4,2
"#98 6103 Madigan Drive Northeast, Calgary ",1,2024,August,"$359,900","$350,000",97%,Not Applicable,973,3,1
"#3144 1818 Simcoe Boulevard Southwest, Calgary ",1,2024,August,"$349,900","$345,700",99%,High Rise Apartment,"1,014",2,2
"#1316 1818 Simcoe Boulevard Southwest, Calgary ",1,2024,November,"$348,000","$347,500",100%,High Rise Apartment,984,2,2
"#3116 175 Silverado Boulevard Southwest, Calgary ",1,2025,January,"$349,500","$358,000",102%,High Rise Apartment,774,2,2
"4516 30 Avenue Southwest, Calgary ",1,2024,September,"$775,000","$759,750",98%,House,979,4,2
"7975 Wentworth Drive Southwest, Calgary ",1,2024,December,"$729,900","$720,000",99%,House,"1,516",4,3
"#203 5555 Elbow Drive Southwest, Calgary ",1,2024,September,"$1,725,000","$1,725,000",100%,Half Duplex,"2,305",3,3
"#404 635 57 Avenue Southwest, Calgary ",1,2024,November,"$220,000","$220,000",100%,High Rise Apartment,495,1,1
"637 54 Avenue Southwest, Calgary ",1,2024,September,"$919,900","$921,000",100%,House,"1,856",4,3
"#532 26 Val Gardena View Southwest, Calgary ",1,2024,November,"$382,000","$365,000",96%,High Rise Apartment,872,2,2
"1331 15 Street Northwest, Calgary ",1,2024,October,"$1,499,000","$1,469,500",98%,House,"3,332",5,5
"2422 Bowness Road Northwest, Calgary ",1,2024,August,"$849,900","$823,500",97%,Half Duplex,"1,845",4,3
"2628 4 Avenue Northwest, Calgary ",1,2024,November,"$1,250,000","$1,245,775",100%,House,"1,997",4,3
"#104 1212 13 Street Southeast, Calgary ",1,2024,August,"$539,900","$531,500",98%,Not Applicable,"1,004",1,2
"307 Woodvale Crescent Southwest, Calgary ",1,2024,September,"$425,000","$456,000",107%,Not Applicable,"1,291",2,1
"#503 8710 Horton Road Southwest, Calgary ",1,2025,January,"$249,900","$245,000",98%,High Rise Apartment,715,1,1
"2274 Passchendaele Avenue Southwest, Calgary ",1,2024,September,"$864,900","$853,000",99%,House,"1,203",3,1
"#516 11 Mahogany Circle Southeast, Calgary ",1,2024,December,"$724,900","$720,000",99%,High Rise Apartment,"1,053",2,2
"#1204 11 Mahogany Row Southeast, Calgary ",1,2025,January,"$379,900","$375,000",99%,High Rise Apartment,843,2,2
"129 Mt Douglas Green Southeast, Calgary ",1,2024,November,"$780,000","$827,500",106%,House,"2,214",4,3
"#206 45 Aspenmont Heights Southwest, Calgary ",1,2025,January,"$449,900","$439,000",98%,High Rise Apartment,"1,048",2,2
"808 Mckenzie Towne Common Southeast, Calgary ",1,2024,August,"$349,900","$360,000",103%,House,832,2,1
"#314 860 Midridge Drive Southeast, Calgary ",1,2024,September,"$325,000","$315,000",97%,High Rise Apartment,"1,002",2,1
"#305 6603 New Brighton Avenue Southeast, Calgary ",1,2024,September,"$299,990","$300,000",100%,High Rise Apartment,637,2,1
"243 Copperpond Bay Southeast, Calgary ",1,2024,September,"$699,900","$698,000",100%,House,"2,121",5,3
"10632 Brackenridge Road Southwest, Calgary ",1,2024,November,"$689,900","$727,500",105%,House,"1,192",4,2
"52 Cranfield Manor Southeast, Calgary ",1,2024,August,"$665,000","$695,000",105%,House,"1,947",4,4
"106 Autumn Gardens Southeast, Calgary ",1,2024,November,"$749,000","$745,000",99%,House,"1,983",4,3
"128 Copperfield Rise Southeast, Calgary ",1,2024,September,"$549,888","$560,128",102%,House,"1,209",4,2
"#204 920 68 Avenue Southwest, Calgary ",1,2024,August,"$225,000","$222,500",99%,High Rise Apartment,504,1,1
"362 Copperfield Grove Southeast, Calgary ",1,2024,November,"$557,777","$548,500",98%,House,"1,307",3,2
"169 Cranarch Common Southeast, Calgary ",1,2024,December,"$800,000","$802,000",100%,House,"2,198",3,3
"59 Chapalina Close Southeast, Calgary ",1,2024,November,"$769,900","$757,000",98%,House,"2,168",4,3
"23 Cranford Close Southeast, Calgary ",1,2024,October,"$639,900","$639,900",100%,House,"1,014",4,2
"146 Arbour Stone Place Northwest, Calgary ",1,2025,January,"$589,000","$580,000",98%,House,"1,244",3,1
"307 42 Street Southeast, Calgary ",1,2024,September,"$439,900","$426,000",97%,Half Duplex,820,4,2
"7 Richelieu Court Southwest, Calgary ",1,2024,November,"$515,000","$504,600",98%,Not Applicable,"1,791",3,2
"#2 2109 4 Avenue Northwest, Calgary ",1,2024,October,"$635,000","$624,500",98%,Not Applicable,"1,499",3,2
"708 20 Avenue Northwest, Calgary ",1,2024,August,"$800,000","$785,000",98%,Half Duplex,"1,859",4,3
"20 Cramond Drive Southeast, Calgary ",1,2024,September,"$599,900","$595,000",99%,Half Duplex,"1,360",3,2
"20 Auburn Meadows Link Southeast, Calgary ",1,2024,August,"$519,900","$510,000",98%,Half Duplex,"1,031",2,2
"8016 Chardie Road Southwest, Calgary ",1,2024,October,"$975,000","$935,000",96%,House,"1,752",3,2
"#102 1709 35 Avenue Southwest, Calgary ",1,2025,January,"$499,000","$490,000",98%,Not Applicable,954,2,2
"427 36 Avenue Northwest, Calgary ",1,2025,January,"$779,900","$765,000",98%,Half Duplex,"1,847",5,2
"936 40 Avenue Northwest, Calgary ",1,2025,January,"$599,900","$582,000",97%,House,860,2,1
"160 Sandringham Close Northwest, Calgary ",1,2024,December,"$749,900","$710,000",95%,House,"1,953",5,2
"2040 48 Avenue Southwest, Calgary ",1,2025,January,"$1,149,900","$1,129,000",98%,House,"1,843",4,3
"#110 30 Discovery Ridge Close Southwest, Calgary ",1,2024,August,"$399,900","$395,000",99%,High Rise Apartment,925,2,1
"#905 1053 10 Street Southwest, Calgary ",1,2024,December,"$339,900","$332,000",98%,High Rise Apartment,742,2,1
"8431 Saddlebrook Drive Northeast, Calgary ",1,2024,October,"$484,900","$472,000",97%,Not Applicable,"1,619",3,2
"88 Evansford Circle Northwest, Calgary ",1,2024,November,"$644,999","$638,000",99%,House,"1,583",4,3
"15894 Everstone Road Southwest, Calgary ",1,2024,December,"$499,900","$512,515",103%,House,"1,265",3,1
"187 Everglen Way Southwest, Calgary ",1,2024,October,"$515,000","$568,000",110%,House,"1,029",4,3
"20 Everhollow Way Southwest, Calgary ",1,2024,December,"$440,000","$435,200",99%,Not Applicable,"1,270",2,2
"332 Walden Square Southeast, Calgary ",1,2024,September,"$685,000","$660,000",96%,House,"1,911",6,3
"294 Nolan Hill Drive Northwest, Calgary ",1,2024,August,"$689,777","$685,500",99%,House,"1,708",4,3
"12 Riverwood Crescent Southeast, Calgary ",1,2025,January,"$674,900","$699,000",104%,House,"1,737",4,3
"#1105 428 Nolan Hill Drive Northwest, Calgary ",1,2024,August,"$450,000","$445,000",99%,Not Applicable,"1,222",2,2
"2316 1 Avenue Northwest, Calgary ",1,2024,September,"$1,549,900","$1,520,000",98%,House,"2,965",5,4
"178 Sandarac Drive Northwest, Calgary ",1,2024,October,"$688,000","$714,500",104%,House,"1,641",4,2
"654 27 Avenue Northwest, Calgary ",1,2024,November,"$719,000","$700,000",97%,House,768,3,2
"61 Sandarac Circle Northwest, Calgary ",1,2024,September,"$484,900","$470,000",97%,Not Applicable,"1,257",3,2
"710 23 Avenue Northwest, Calgary ",1,2024,November,"$899,900","$892,500",99%,House,"1,815",4,3
"64 Sandringham Close Northwest, Calgary ",1,2024,December,"$779,900","$750,000",96%,House,"2,003",4,2
"218 Mt Mckenzie Gardens Southeast, Calgary ",1,2024,September,"$449,900","$472,000",105%,Not Applicable,"1,350",2,2
"418 Brae Glen Crescent Southwest, Calgary ",1,2024,September,"$439,000","$420,000",96%,Not Applicable,"1,436",3,3
"115 Valley Brook Circle Northwest, Calgary ",1,2024,October,"$768,000","$752,000",98%,House,"1,726",4,3
"153 Berwick Way Northwest, Calgary ",1,2024,October,"$450,000","$470,000",104%,Half Duplex,"1,073",4,2
"7611 36 Avenue Northwest, Calgary ",1,2024,September,"$815,000","$805,000",99%,House,"2,001",4,3
"122 Cranbrook Square Southeast, Calgary ",1,2024,October,"$380,000","$375,000",99%,Not Applicable,"1,262",2,2
"14 Evanscrest Heights Northwest, Calgary ",1,2024,November,"$669,900","$676,000",101%,House,"1,586",5,3
"3734 42 Street Southwest, Calgary ",1,2024,November,"$525,000","$528,000",101%,Half Duplex,903,3,2
"#202 518 33 Street Northwest, Calgary ",1,2024,November,"$449,999","$442,000",98%,High Rise Apartment,923,2,2
"32 Kincora Street Northwest, Calgary ",1,2024,October,"$785,000","$788,800",100%,House,"2,029",4,3
"390 Templeside Circle Northeast, Calgary ",1,2024,September,"$419,900","$414,000",99%,Not Applicable,"1,183",3,1
"41 Taralake Terrace Northeast, Calgary ",1,2024,October,"$599,900","$590,000",98%,House,"1,658",3,2
"50 Tararidge Drive Northeast, Calgary ",1,2024,August,"$499,900","$499,000",100%,House,955,3,2
"51 Tarawood Grove Northeast, Calgary ",1,2024,September,"$629,000","$632,000",100%,House,"1,438",4,3
"8 Taraglen Road Northeast, Calgary ",1,2024,December,"$525,000","$518,000",99%,House,857,3,2
"85 Taravista Way Northeast, Calgary ",1,2024,September,"$480,000","$478,000",100%,Half Duplex,"1,160",4,1
"941 Taradale Drive Northeast, Calgary ",1,2024,October,"$589,900","$577,000",98%,House,"1,371",4,4
"953 Taradale Drive Northeast, Calgary ",1,2024,October,"$529,900","$525,000",99%,House,"1,278",3,1
"168 Oaktree Lane Southwest, Calgary ",1,2024,September,"$329,900","$330,500",100%,Half Duplex,505,2,2
"#212 315 50 Avenue Southwest, Calgary ",1,2024,November,"$260,000","$262,000",101%,High Rise Apartment,909,2,1
"18 Redstone Mews Northeast, Calgary ",1,2024,September,"$655,000","$650,000",99%,Half Duplex,"1,862",3,2
"22 Silverado Plains Common Southwest, Calgary ",1,2025,January,"$709,000","$701,888",99%,House,"2,207",3,2
"12 Tuscany Ravine Crescent Northwest, Calgary ",1,2024,September,"$688,000","$685,000",100%,House,"1,670",3,2
"#415 727 56 Avenue Southwest, Calgary ",1,2025,January,"$255,000","$251,000",98%,High Rise Apartment,806,2,1
"103 Nolanfield Villas Northwest, Calgary ",1,2024,September,"$529,900","$525,000",99%,Not Applicable,"1,495",3,2
"239 Mckenzie Towne Square Southeast, Calgary ",1,2025,January,"$350,000","$342,000",98%,House,700,2,1
"35 Copperfield Common Southeast, Calgary ",1,2024,October,"$659,900","$667,500",101%,House,"1,856",4,3
"351 Penswood Way Southeast, Calgary ",1,2024,October,"$578,000","$570,000",99%,House,"1,132",4,2
"34 Royal Birch Way Northwest, Calgary ",1,2024,December,"$689,900","$689,900",100%,House,"1,466",3,3
"6 Evanspark Road Northwest, Calgary ",1,2024,September,"$679,000","$679,000",100%,House,"1,739",3,2
"10 Coventry Crescent Northeast, Calgary ",1,2025,January,"$674,900","$668,000",99%,House,"1,642",4,3
"#706 2505 17 Avenue Southwest, Calgary ",1,2024,November,"$289,900","$275,000",95%,High Rise Apartment,632,1,1
"2528 21 Street Southwest, Calgary ",1,2024,September,"$959,900","$985,000",103%,Half Duplex,"1,924",4,3
"75 Saddlebrook Gardens Northeast, Calgary ",1,2024,September,"$649,500","$640,000",99%,House,"1,536",4,3
"41 New Brighton Heights Southeast, Calgary ",1,2024,September,"$615,000","$620,000",101%,House,"1,074",3,3
"103 Walden Gardens Southeast, Calgary ",1,2024,October,"$639,900","$627,000",98%,House,"1,995",5,3
"88 Woodfield Crescent Southwest, Calgary ",1,2024,October,"$738,800","$748,000",101%,House,"1,546",5,2
"2827 16 Street Southwest, Calgary ",1,2024,August,"$539,000","$543,000",101%,Not Applicable,"1,259",2,1
"#403 3316 Rideau Place Southwest, Calgary ",1,2024,August,"$385,000","$372,500",97%,High Rise Apartment,746,1,1
"40 Strathearn Rise Southwest, Calgary ",1,2025,February,"$624,900","$575,000",92%,House,"1,195",4,3
"39 Everwillow Close Southwest, Calgary ",1,2025,January,"$679,900","$690,000",101%,House,"1,653",3,2
"228 Macewan Glen Place Northwest, Calgary ",1,2025,January,"$674,900","$640,000",95%,House,"1,369",4,3
"52 Riverbirch Road Southeast, Calgary ",1,2024,October,"$549,900","$549,000",100%,House,839,3,2
"229 Mahogany Parade Southeast, Calgary ",1,2024,December,"$699,900","$696,000",99%,House,"1,972",3,2
"31 Chaparral Valley Way Southeast, Calgary ",1,2024,September,"$739,900","$739,900",100%,House,"2,231",3,2
"8 Arbour Ridge Place Northwest, Calgary ",1,2024,October,"$689,900","$678,000",98%,House,"1,705",4,3
"125 Cougarstone Place Southwest, Calgary ",1,2024,October,"$628,000","$640,000",102%,Half Duplex,"1,422",4,3
"15 Walden Place Southeast, Calgary ",1,2025,January,"$739,900","$732,500",99%,House,"2,164",3,2
"#213 214 Sherwood Square Northwest, Calgary ",1,2024,October,"$285,000","$280,000",98%,High Rise Apartment,680,2,1
"95 Country Hills Cove Northwest, Calgary ",1,2024,November,"$463,700","$462,000",100%,Not Applicable,"1,334",3,2
"716 Rideau Road Southwest, Calgary ",1,2024,September,"$1,595,000","$1,595,000",100%,Vacant Land,0,0,0
"#305 328 21 Avenue Southwest, Calgary ",1,2024,December,"$300,000","$295,000",98%,High Rise Apartment,628,1,1
"#603 328 21 Avenue Southwest, Calgary ",1,2024,October,"$365,000","$356,000",98%,High Rise Apartment,733,1,1
"67 Sherwood Common Northwest, Calgary ",1,2024,November,"$799,000","$760,000",95%,House,"2,523",4,2
"231 Deerpoint Lane Southeast, Calgary ",1,2024,December,"$385,000","$395,000",103%,Not Applicable,"1,118",3,1
"53 Shawinigan Road Southwest, Calgary ",1,2024,November,"$614,900","$604,750",98%,House,"1,159",4,2
"#4102 31 Country Village Manor Northeast, Calgary ",1,2024,November,"$245,000","$235,000",96%,High Rise Apartment,652,1,1
"54 Shawbrooke Court Southwest, Calgary ",1,2024,December,"$409,900","$402,500",98%,Not Applicable,"1,211",3,1
"92 Abergale Way Northeast, Calgary ",1,2025,January,"$350,000","$344,000",98%,Not Applicable,"1,139",3,1
"1211 Lansdowne Avenue Southwest, Calgary ",1,2024,September,"$3,000,000","$3,100,000",103%,House,"2,673",5,5
"#207 2715 12 Avenue Southeast, Calgary ",1,2024,November,"$261,000","$245,000",94%,High Rise Apartment,667,2,1
"#1324 1540 Sherwood Boulevard Northwest, Calgary ",1,2024,August,"$339,000","$332,500",98%,High Rise Apartment,835,2,2
"157 Sherwood Circle Northwest, Calgary ",1,2025,January,"$724,888","$710,000",98%,House,"1,945",3,2
"226 40 Avenue Southwest, Calgary ",1,2024,September,"$2,200,000","$2,275,000",103%,House,"2,574",4,4
"4007 Dovercrest Drive Southeast, Calgary ",1,2024,October,"$565,000","$537,500",95%,House,946,3,2
"#7 605 67 Avenue Southwest, Calgary ",1,2024,October,"$154,900","$150,000",97%,High Rise Apartment,475,1,1
"218 20 Avenue Northwest, Calgary ",1,2024,August,"$450,000","$445,000",99%,House,822,2,1
"236 23 Avenue Northwest, Calgary ",1,2024,December,"$789,900","$773,000",98%,Half Duplex,"1,817",4,3
"2614 21 Street Southwest, Calgary ",1,2024,November,"$1,345,000","$1,330,000",99%,House,"2,651",4,3
"#103 120 Silvercreek Close Northwest, Calgary ",1,2024,October,"$374,900","$374,900",100%,Not Applicable,"1,107",3,1
"141 Woodborough Terrace Southwest, Calgary ",1,2024,October,"$389,900","$392,900",101%,Not Applicable,"1,098",3,1
"#1706 211 13 Avenue Southeast, Calgary ",1,2024,November,"$450,000","$448,500",100%,High Rise Apartment,881,2,2
"#308 600 Princeton Way Southwest, Calgary ",1,2024,August,"$2,300,000","$2,215,000",96%,High Rise Apartment,"2,805",3,2
"115 41 Avenue Southwest, Calgary ",1,2024,September,"$775,000","$745,000",96%,Not Applicable,"1,605",3,2
"209 Tuscany Ravine Road Northwest, Calgary ",1,2025,January,"$720,000","$670,000",93%,House,"1,802",4,3
"#6 1813 25 Avenue Southwest, Calgary ",1,2024,October,"$199,999","$195,000",98%,High Rise Apartment,486,1,1
"#303 1111 6 Avenue Southwest, Calgary ",1,2024,October,"$279,900","$264,000",94%,High Rise Apartment,627,1,1
"112 Copperfield Lane Southeast, Calgary ",1,2024,September,"$435,000","$445,000",102%,Not Applicable,"1,261",2,2
"3235 100 Street Southeast, Calgary ",1,2025,January,"$1,899,900","$1,841,000",97%,House,"2,318",3,2
"174 Templehill Drive Northeast, Calgary ",1,2024,September,"$499,900","$495,000",99%,Half Duplex,"1,070",4,2
"20 Templemont Way Northeast, Calgary ",1,2025,January,"$545,000","$545,000",100%,House,"1,284",5,3
"3 Templeby Way Northeast, Calgary ",1,2025,January,"$470,000","$465,000",99%,Half Duplex,"1,145",3,2
"40 Templeridge Crescent Northeast, Calgary ",1,2024,November,"$399,900","$399,900",100%,Half Duplex,904,2,1
"431 Templeview Drive Northeast, Calgary ",1,2024,October,"$409,900","$409,000",100%,Half Duplex,878,4,2
"1823 42 Street Southeast, Calgary ",1,2024,November,"$574,900","$555,000",97%,House,863,5,2
"46 Templeby Way Northeast, Calgary ",1,2024,October,"$499,900","$494,000",99%,House,"1,241",4,2
"#46 6020 Temple Drive Northeast, Calgary ",1,2025,January,"$344,900","$340,000",99%,Not Applicable,"1,065",3,1
"6652 Temple Drive Northeast, Calgary ",1,2025,January,"$399,000","$383,000",96%,Not Applicable,"1,143",4,2
"84 Templevale Way Northeast, Calgary ",1,2024,November,"$650,000","$640,000",98%,House,"1,589",3,3
"135 Cityscape Row Northeast, Calgary ",1,2024,August,"$423,900","$423,900",100%,Not Applicable,"1,170",2,2
"#1201 350 Livingston Common Northeast, Calgary ",1,2024,December,"$364,900","$360,000",99%,High Rise Apartment,886,2,2
"1702 28 Avenue Southwest, Calgary ",1,2024,November,"$549,000","$535,000",97%,Not Applicable,983,2,1
"#1 1815 26 Avenue Southwest, Calgary ",1,2024,September,"$249,900","$240,000",96%,High Rise Apartment,733,2,1
"1826 32 Avenue Southwest, Calgary ",1,2024,November,"$1,225,000","$1,200,000",98%,Half Duplex,"2,807",4,3
"#212 1905 27 Avenue Southwest, Calgary ",1,2025,January,"$465,000","$460,000",99%,Not Applicable,"1,157",2,1
"1920 31 Avenue Southwest, Calgary ",1,2024,December,"$2,395,000","$2,287,500",96%,House,"3,277",4,4
"119 Copperfield Heights Southeast, Calgary ",1,2024,October,"$499,900","$525,000",105%,House,930,3,2
"#2115 755 Copperpond Boulevard Southeast, Calgary ",1,2024,September,"$275,000","$275,000",100%,High Rise Apartment,591,1,1
"16 Cornerbrook Way Northeast, Calgary ",1,2024,December,"$729,900","$705,000",97%,House,"1,618",5,4
"28 Cornerbrook Common Northeast, Calgary ",1,2024,September,"$979,900","$950,000",97%,House,"2,732",5,4
"#302 209 6 Avenue Northeast, Calgary ",1,2024,August,"$279,900","$280,000",100%,High Rise Apartment,798,2,1
"131 Country Hills Villas Northwest, Calgary ",1,2025,January,"$408,888","$400,000",98%,Not Applicable,"1,177",3,1
"90 Country Hills Cove Northwest, Calgary ",1,2024,November,"$465,000","$465,000",100%,Not Applicable,"1,350",3,1
"19 Sussex Crescent Southwest, Calgary ",1,2024,August,"$575,000","$630,000",110%,House,"1,110",3,2
"615 101 Avenue Southwest, Calgary ",1,2024,October,"$724,900","$705,000",97%,House,"1,101",4,2
"6936 Bow Crescent Northwest, Calgary ",1,2024,September,"$1,650,000","$1,590,000",96%,Vacant Land,0,0,0
"128 Evansborough Way Northwest, Calgary ",1,2024,December,"$628,500","$628,500",100%,House,"1,404",4,3
"182 Redstone Drive Northeast, Calgary ",1,2024,August,"$629,900","$647,500",103%,Half Duplex,"1,491",5,3
"#202 825 4 Street Northeast, Calgary ",1,2024,December,"$269,999","$270,000",100%,High Rise Apartment,738,2,1
"#720 8880 Horton Road Southwest, Calgary ",1,2025,January,"$374,900","$365,000",97%,High Rise Apartment,"1,037",2,2
"4215 Gloucester Drive Southwest, Calgary ",1,2024,August,"$769,000","$810,000",105%,House,"1,117",4,2
"4309 Bowness Road Northwest, Calgary ",1,2024,November,"$649,900","$656,000",101%,Half Duplex,"1,343",5,4
"#2 4414 17 Avenue Northwest, Calgary ",1,2024,September,"$625,000","$640,000",102%,Not Applicable,"1,342",3,3
"176 Evansridge Circle Northwest, Calgary ",1,2024,December,"$748,000","$745,000",100%,House,"2,291",3,2
"#3 2412 30 Street Southwest, Calgary ",1,2024,August,"$399,999","$410,000",103%,Not Applicable,918,2,2
"#112 3810 43 Street Southwest, Calgary ",1,2024,September,"$340,000","$340,000",100%,High Rise Apartment,982,2,2
"#709 1410 1 Street Southeast, Calgary ",1,2024,October,"$295,000","$310,000",105%,High Rise Apartment,672,1,1
"109 Walden Park Southeast, Calgary ",1,2024,August,"$729,900","$721,500",99%,House,"1,955",3,2
"#1311 155 Silverado Skies Link Southwest, Calgary ",1,2024,October,"$485,000","$485,000",100%,Not Applicable,"1,368",4,3
"35 Shawglen Place Southwest, Calgary ",1,2024,August,"$549,900","$575,000",105%,House,977,3,2
"295 Mahogany Boulevard Southeast, Calgary ",1,2024,October,"$549,900","$549,900",100%,Not Applicable,"1,751",3,2
"506 14 Avenue Northeast, Calgary ",1,2024,August,"$985,000","$985,000",100%,Half Duplex,"1,930",4,3
"110 Cranford Close Southeast, Calgary ",1,2024,November,"$640,000","$627,500",98%,House,"1,525",3,2
"323 10 Avenue Northeast, Calgary ",1,2024,December,"$635,000","$625,000",98%,House,800,3,2
"#104 532 5 Avenue Northeast, Calgary ",1,2024,December,"$289,900","$277,500",96%,High Rise Apartment,657,1,1
"603 10 Avenue Northeast, Calgary ",1,2024,November,"$555,000","$625,000",113%,House,"1,302",3,1
"224 33 Avenue Northeast, Calgary ",1,2024,November,"$868,888","$850,000",98%,Half Duplex,"1,713",4,3
"3714 3 Street Northwest, Calgary ",1,2024,September,"$499,900","$480,000",96%,House,861,4,2
"#102 4350 Seton Drive Southeast, Calgary ",1,2024,October,"$374,990","$369,000",98%,High Rise Apartment,851,2,2
"27 Deermont Place Southeast, Calgary ",1,2024,September,"$814,900","$814,900",100%,House,"1,840",4,3
"#303 315 24 Avenue Southwest, Calgary ",1,2024,August,"$335,000","$327,000",98%,High Rise Apartment,791,2,1
"#302 315 24 Avenue Southwest, Calgary ",1,2024,August,"$324,900","$322,000",99%,High Rise Apartment,742,1,1
"976 Seton Circle Southeast, Calgary ",1,2024,August,"$574,900","$569,000",99%,Half Duplex,"1,497",3,2
"79 Auburn Meadows Gardens Southeast, Calgary ",1,2025,January,"$619,900","$605,000",98%,House,"1,314",4,3
"124 Walden Parade Southeast, Calgary ",1,2025,January,"$664,900","$645,000",97%,House,"1,785",3,2
"3035 25 Street Southwest, Calgary ",1,2024,September,"$1,650,000","$1,610,000",98%,House,"2,956",6,3
"#505 2011 University Drive Northwest, Calgary ",1,2024,December,"$289,900","$276,750",95%,High Rise Apartment,919,2,2
"20 27 Avenue Southwest, Calgary ",1,2024,September,"$415,000","$382,500",92%,Vacant Land,0,0,0
"119 Castleglen Road Northeast, Calgary ",1,2024,October,"$468,000","$515,000",110%,House,909,4,3
"914 Remington Road Northeast, Calgary ",1,2025,January,"$819,900","$805,000",98%,Half Duplex,"1,505",4,3
"5407 14 Avenue Southeast, Calgary ",1,2024,November,"$475,000","$460,000",97%,House,"1,062",5,2
"#304 205 Riverfront Avenue Southwest, Calgary ",1,2024,November,"$328,800","$319,500",97%,High Rise Apartment,768,1,1
"71 Millrise Crescent Southwest, Calgary ",1,2024,September,"$579,900","$580,000",100%,House,"1,421",5,2
"#17 133 Rockyledge View Northwest, Calgary ",1,2024,November,"$385,000","$363,000",94%,Not Applicable,900,2,2
"1906 Olympia Drive Southeast, Calgary ",1,2024,October,"$605,000","$590,000",98%,House,"1,049",5,4
"#9N 203 Lynnview Road Southeast, Calgary ",1,2024,November,"$349,900","$330,000",94%,Not Applicable,"1,075",3,1
"#85S 203 Lynnview Road Southeast, Calgary ",1,2024,November,"$374,900","$374,900",100%,Not Applicable,"1,069",3,1
"422 36 Avenue Northwest, Calgary ",1,2024,August,"$699,900","$680,000",97%,House,844,4,2
"#103 4328 4 Street Northwest, Calgary ",1,2024,November,"$139,900","$124,900",89%,High Rise Apartment,476,1,1
"#204 4303 1 Street Northeast, Calgary ",1,2024,September,"$340,000","$337,500",99%,High Rise Apartment,834,2,2
"#234 4303 1 Street Northeast, Calgary ",1,2024,September,"$364,900","$357,500",98%,High Rise Apartment,"1,032",2,2
"#407 738 1 Avenue Southwest, Calgary ",1,2024,November,"$1,069,000","$1,000,000",94%,High Rise Apartment,"1,382",2,2
"610 24 Avenue Northwest, Calgary ",1,2024,August,"$899,900","$900,000",100%,House,"1,316",5,3
"304 Pinemill Way Northeast, Calgary ",1,2024,November,"$729,900","$729,900",100%,House,"1,968",4,3
"#601 626 15 Avenue Southwest, Calgary ",1,2024,December,"$235,000","$228,000",97%,High Rise Apartment,669,2,1
"66 Erin Crescent Southeast, Calgary ",1,2025,January,"$520,000","$530,000",102%,House,"1,455",4,1
"#3211 73 Erin Woods Court Southeast, Calgary ",1,2024,October,"$214,900","$205,000",95%,High Rise Apartment,565,1,1
"143 New Brighton Close Southeast, Calgary ",1,2024,September,"$699,900","$695,000",99%,House,"1,916",3,2
"#513 200 Brookpark Drive Southwest, Calgary ",1,2024,December,"$350,000","$338,200",97%,House,929,2,2
"#303 10 Dover Point Southeast, Calgary ",1,2024,November,"$250,000","$252,000",101%,High Rise Apartment,881,2,1
"#136 2300 Oakmoor Drive Southwest, Calgary ",1,2024,August,"$415,000","$415,000",100%,Not Applicable,"1,247",3,1
"3 Fairview Crescent Southeast, Calgary ",1,2024,September,"$669,900","$660,500",99%,House,"1,034",4,2
"9 Inverness Rise Southeast, Calgary ",1,2024,August,"$749,900","$750,000",100%,House,"1,874",4,3
"5416 Ladbrooke Drive Southwest, Calgary ",1,2025,January,"$790,000","$765,000",97%,House,"1,059",5,2
"#316 8535 Bonaventure Drive Southeast, Calgary ",1,2024,September,"$300,000","$290,000",97%,High Rise Apartment,692,1,1
"2219 16 Street Southeast, Calgary ",1,2024,October,"$859,900","$869,000",101%,House,"1,307",4,2
"#41 2319 56 Street Northeast, Calgary ",1,2024,November,"$328,000","$300,000",91%,Not Applicable,"1,071",3,1
